parent_asin,date_first_available,title,description,filename,main_category,categories,store,average_rating,rating_number,price
B0BX6B7GQ2,2023-03-01,"Extend Tecc, Extend Tecc WiFi Booster, Newest WiFi Booster 2023, WiFi Range Extender 1200Mbps, Wireless Signal Repeater Booster 2.4 and 5GHz Dual Band 4 Antennas 360° Full Coverage","Technical Specifications:  Wireless Speed: 1200Mbps  Frequency Band: 2.4 GHz ,5GHz  Antennas: 4* 2dBi External Antennas  Encryption way: wpa, wpa2, wpa-psk, wpa2-psk  Wireless Standard: 802.11b, 802.11n, 802.11g,802.11ac,802.11a  Product Features  3 in 1 Functions: WiFi Range Extender (Repeater), Wireless Access Point, Wireless Router.  Low Power Consumption: Uses environmentally friendly design. It is stable with low radiation and low power.  Booster WiFi Coverage: Extend the existing WiFi coverage to hard-to-reach areas, enhance your WiFi signal.  Connect Wired Devices: Ethernet port can connect any wired device such as a smart TV, multimedia player, game console or PC to your WiFi network, work as a media bridge.  Secure Heat Dissipation Design: The isolated heat dissipation design can effectively prevent the intrusion of dust and quickly dissipate heat, ensuring stable operation of the equipment all the time.  Warm Tips:  The passwords of your repeater are as same as your router.  Poor signal connection may cause slow speeds or dropped connection.  If you haven’t see desired wireless network, you can move the range extender closer to the router and scan again as it may be out of range.  The WiFi extender only extends the wifi coverage range, it couldn't boost the speed of your original router or hold the same speed of the original router.  Packing list  1x1200Mbps WiFi Extender.  1xUser Manual",meta_Electronics,,"['Electronics', 'Computers & Accessories', 'Networking Products', 'Repeaters']",EGEN,3.6,10.0,54.99
B0BWFLVJK8,2023-02-21,DANMO Easel Stand for Wedding Sign Poster 63'' Instant Display Easel for Floor Adjustable Metal Art Easel Black 2 Pack,"DANMO Easel Stand for Wedding Sign Poster 63'' Instant Display Easel for Floor Adjustable Metal Art Easel Black 2 Pack
PACKEGING
Display Easel * 1
PRODUCT INFORMATION
Weight: 2.4 Pounds Material: Iron Package Dimensions: 16"" x 2.7"" x 2.3""
SPECIAL DESIGN
- Adjustable Plastic Clip  - Folding & Portable  - Quickly Sets Up for Instant Use  - Reinforced Metal and Anti-skid Rubber Bottom
PURCHASE GUARENTEE
DANMO Professional After-Sale – In the process of receiving or using the product, if you encounter any problems, please feel free to contact us. DANMO always pays attention to the quality of products.",meta_Arts_Crafts_and_Sewing,Amazon Home,"['Arts, Crafts & Sewing', 'Painting, Drawing & Art Supplies', 'Easels']",DANMO,4.6,22.0,29.99
B0BRSB2Y8M,2023-02-14,36 Pcs Juneteenth Hanging Wooden Ornaments 1865 Freedom Day Party Wood Slices Decoration for Classroom Patriotic History Tags with String for African American Independence Day Home Celebration Decor,"Juneteenth Freedom Day Ornaments Set--You will receive 36 pieces of hanging ornaments for tree in 12 different styles,each containing 3 pieces,and 36 pcs ropes.You can hang these tags anywhere you like,such as your door,wall,ceiling,mantel,blackboard or entryway.Sufficient quantities and styles making your festival party more meaningful.
Unique Style--This wood chip has 12 different patterns,such as:the patterns include hardworking women,united hearts,fists breaking free from chains,etc.There are also some slogans on the slice:JUNETEENTH Celebrate Freedom June 19;PEACE LOVE;BREAK EVERY CHAIN SINCE 1865,etc.Use these wood ornaments as holiday decorations and more.Celebrate the victory of freedom and remember history with your family and friends.
Durable and Eco-friendly Material--These Juneteenth hanging ornaments are made of eco-friendly wood material,which is lightweight,safe,sturdy,and durable.It features delicate workmanship,well polished,no burrs,and wear-resistant to use a long time.
Easy to Use--Each wooden slice was drilled with a small hole that can be threaded with a string,ribbon,or lace for you to hang easily,creating a fun atmosphere for your Juneteenth independence day,african heritage holiday.
Multiple Occasions--These Juneteenth Day party wood decorations are perfect for Juneteenth,Freedom Day,African American Independence Day,Juneteenth Independence Day,Black History Month,African American Liberation Day,African-American Party and African-American Party,create a joyous atmosphere to celebrate Juneteenth!",meta_Home_and_Kitchen,Amazon Home,"['Home & Kitchen', 'Home Décor Products', 'Home Décor Accents', 'Hanging Ornaments']",craftshou,4.7,37.0,7.99
B0BTTR262F,2023-02-03,Madewell Women's Billie Clean Loafers,"A timelessly styled and timelessly stylish pair of Madewell loafers, offered in smooth black leather. All sorts of everyday basics, from jeans to trousers, will work well with this pair.",meta_Clothing_Shoes_and_Jewelry,AMAZON FASHION,"['Clothing, Shoes & Jewelry', 'Women', 'Shoes', 'Loafers & Slip-Ons']",Madewell,2.3,2.0,148.0
B0C1HS1H6B,2023-04-04,Best Naturals Glycine Powder 1 LB - Neurotransmitter & Relaxation Support,Best Naturals Glycine Powder 1 LB - Neurotransmitter & Relaxation Support,meta_Health_and_Household,Health & Personal Care,"['Health & Household', 'Vitamins, Minerals & Supplements', 'Blended Vitamin & Mineral Supplements']",Best Naturals,4.4,41.0,19.99
B0C2VCZPRP,2023-04-18,"SOFTSEA Kids Full Platform Bed Frame with Headboard Cute Bed Frames for Girls Boys, No Box Spring Needed Easy Assemble, Pink","The headboard of this platform bed is curved shape, the overall shape is full of interest. Featuring strong, solid pine wood and supporting slats, this bed is built to last, ensuring it will accompany you for many years. Do not miss the chance take it home today. Weight & Dimensions Overall Product Dimension: 78.1”L X 57.1”W X 52”H Detail Product Dimension: Please refer to the Size image Number of Package: 1 Overall Product Weight: 78 LBS Weight Capacity: Full: 300LBS Recommended Mattress Thickness: 8"" Specifications: Product Type: Platform Bed Size:Full Color: Pink  Product material: Plywood+MDF+Pinewood  Number of Slats: 8 Level of Assembly: Full assembly Box Spring Required: No Mattress Included: No Estimated Time to Assemble:1h Warranty time: One Year（Manufacture Defect) Suggested Number of People：2 Additional Tools Required ： All Tools Included Avoid power tools: Yes  Country of Origin: Vietnam",meta_Home_and_Kitchen,Amazon Home,"['Home & Kitchen', 'Furniture', 'Bedroom Furniture', 'Beds, Frames & Bases', 'Bed Frames']",SOFTSEA,4.3,13.0,129.99
B07RM6HLKC,2023-03-09,"Seaside Park, New Jersey, Beach Cruiser on Beach (9x12 Wall Art Print, Home Decor)","This original high-quality art print from Lantern Press boasts sharp detail and vivid imagery of Seaside Park, New Jersey, Beach Cruiser on Beach (9x12 Wall Art Print, Home Decor). -Paper size measures 9 x 12 inches with an image size of 7.75 x 11.625 inches, ready for framing. -Printed on heavy stock paper using a high-end digital printing press. -Guaranteed color accuracy, durable imaging, and high print resolution. -Lantern Press art prints are designed and printed right here in the USA. Lantern Press incorporates our unique imagery with thoughtfully made keepsakes and gifts that delight our customers, connecting people to their memorable experiences.",meta_Home_and_Kitchen,,"['Home & Kitchen', 'Wall Art', 'Posters & Prints']",Lantern Press,1.0,1.0,12.99
B0BX77YZ2X,2023-03-01,Lemon Balm Salve Herbal Balm Skin Body Care Ointment 2 oz,"This lemon balm salve is made with our farm grown lemon balm leaves. We use organic practices on our plants. This herbal salve has a lighter scent with no artificial scent added. The leaves are steeped in avocado oil to draw out the plant benefits. Created in small batches to ensure freshness. Topical use only. Ingredients: Lemon Balm, avocado oil and beeswax. We keep our ingredients pure and simple. For sensitive skin, a patch test is recommended. May contain allergens.",meta_Handmade_Products,Handmade,"['Handmade Products', 'Beauty & Grooming', 'Skin Care', 'Lip Care']",Generic,2.9,4.0,
B0BWWB65BP,2023-02-26,2100pcs 1cm Assorted Pom Poms Multi Color Fuzzy Pompoms Balls Art Supplies for DIY Creative Crafts Decorations,"Specification: Quantity:2100pcs Color:21 colors Material:Colorfast polypropylene Size:10mm Features: 1.100% Safe,made of high quality environmentally friendly material. 2.Fluffy, comfortable to touch, have no peculiar smell and no fade. 3.Pompoms will not easily get deformed and have a complete shape and good elasticity. 4.In total 21 colors,each color is packaged separately. 5.Enough quantity for you to do a beautiful craft project. 6.A great tool to improve children's sensorial skills and color recognition ability. 7.These fuzzy pompoms are creativity-oriented items, Ideal gift for friends and relatives who are interested in DIY. Notes: Manual measurement, please allow slight errors on size. Please allow slight color difference due to different monitor.",meta_Arts_Crafts_and_Sewing,,"['Arts, Crafts & Sewing', 'Crafting', 'Craft Supplies', 'Pom Poms']",Zhbrchz,5.0,2.0,
B0BX4JVNDQ,2023-02-28,"Aubrey's May Lane Wood Recipe Box with Cards and Dividers - Wood Dividers 4x6 Vintage Style Set for Women- Farmhouse 100 Double Sided Recipe Cards Organizer Box 4x6 - Gift for Grandma, Mom,Bridal","Say goodbye to incommodious recipe books on your shelf. Instead, write down your favorite recipes on the upscale cards or cut out a recipe from the magazine and store them in your recipe box. As this Wooden Recipe box can fit Cards of cooking secrets, ingredients, and notes. Also, you can keep a few cards in your wallet, planner, or bag to pull out the next time you see a recipe you like.
EVERYTHING YOU NEED IN A RECIPE BOX:
It is one thing to just own a recipe box. But to own a recipe box complete with everything you need to make it yours makes complete sense: Neat and clutter-free Farmhouse recipe cards, dividers with tabs, and a double-sided conversion chart. These recipe boxes truly are a feat of modern engineering with vintage sensibilities well in hand.
BUILD MEMORIES TO LAST YOU A LIFETIME:
There’s always room to build more lasting memories - memories forever commemorated in every dish you preserve. That's why we offer you a treasure to keep your recipes. You can put the recipe on fitted stand and look at it while working your magic in the kitchen. No more need for paperweights, or laying the recipe on the countertop, where the rest of your ingredients could end up.
ADEQUATE SPACE FOR WRITING:
Each of the recipe cards is double sided, thick, and premium quality. You’ll enjoy writing on the blotch-free surface which means your writing will always be comprehensible and smudge free on either side. There’s plenty of space to write even the most complex recipes and lists of ingredients. This means you can also add some notes and tips that your grandma used to give you to help you remember!
FEATURES:
✔ Antique design✔ Prime quality✔ Wide spaced✔ 10 labeled dividers✔ Finest wooden material✔ Easy to carry✔ Light weight✔ Well-designed cards",meta_Home_and_Kitchen,Tools & Home Improvement,"['Home & Kitchen', 'Kitchen & Dining', 'Kitchen Utensils & Gadgets', 'Kitchen Accessories', 'Cookbook Stands & Recipe Holders', 'Recipe Holders']",Aubrey's May Lane,5.0,6.0,29.99
